TIMESTAMP,RECORD,BGTemp_C_Avg,AirTC_Avg,RH_Avg,P_Air_Avg,cal_NetRad_Pyrano_Up_Avg,mean_wind_speed,mean_wind_direction,std_wind_dir,wind_speed_Max,esat_kPa,ea_kPa,dewpoint_C,wet_bulb_C,WBGT_C
2025-04-29 21:30:00,10873.0,-11.18677,-11.67489,89.14847,1006.626,38.25722,1.431889,28.81086,20.53328,2.06,0.2506165765862647,0.2234208435930332,-13.103748672926297,-12.217341367213399,-11.956981957049377
2025-04-29 22:00:00,10874.0,-8.648769,-12.45189,87.73144,1006.719,69.7389,1.442,351.6728,11.51634,2.36,0.235433191777445,0.20654892938431413,-14.067340856783863,-13.016141354660066,-12.086241748262047
2025-04-29 22:30:00,10875.0,-12.34819,-13.29071,87.95832,1006.784,19.51395,1.207778,13.02054,13.75693,1.53,0.2199674450367055,0.19347966920120957,-14.8633263530556,-13.832768431942759,-13.48164690235993
2025-04-29 23:00:00,10876.0,-13.39305,-13.69828,87.6416,1006.88,14.59051,1.363889,14.71604,24.47315,2.45,0.21278533494290805,0.1864884721093237,-15.30905478790054,-14.24962469516508,-14.023175286615556
2025-04-29 23:30:00,10877.0,-13.2754,-13.52545,87.81017,1007.061,11.68942,1.956889,16.80256,22.88093,2.64,0.2158049540652841,0.1894986970331479,-15.115336871631769,-14.07116397599818,-13.857439783198725
2025-04-30 00:00:00,10878.0,-14.33463,-14.92231,85.81153,1007.349,7.079786,2.022222,25.71025,33.28397,3.03,0.19245629425507502,0.16514969068158197,-16.768422074898393,-15.488359451213945,-15.201008615849762
2025-04-30 00:30:00,10879.0,-14.73008,-16.02546,84.85439,1007.479,5.075612,3.206363,347.7839,4.290347,4.13,0.17563937960302448,0.14903772416193084,-17.986667764548177,-16.594146842668867,-16.164464789868205
2025-04-30 01:00:00,10880.0,-14.55697,-15.65021,85.33972,1007.458,4.686192,2.552,351.6242,9.346936,3.72,0.1812064127176417,0.15464104523527983,-17.550188603985468,-16.214923319829953,-15.826861323880966
2025-04-30 01:30:00,10881.0,-15.17668,-15.67096,85.30338,1007.387,4.419836,2.726444,345.8844,6.775335,3.51,0.18089450969678164,0.1543091310057825,-17.575646193348284,-16.236861055719537,-15.968234739003673
2025-04-30 02:00:00,10882.0,-14.15875,-14.95176,85.87258,1007.588,4.540744,1.947778,345.1796,10.5228,3.11,0.19198931166446823,0.1648661752505198,-16.78892203863985,-15.524253898060403,-15.193903728642281
2025-04-30 02:30:00,10883.0,-14.81028,-15.10551,85.66474,1007.717,4.797768,2.611,333.5892,4.71944,3.26,0.18956771254468308,0.16239268807535012,-16.969120157096814,-15.674647147480307,-15.444860003236215
2025-04-30 03:00:00,10884.0,-14.2039,-14.46395,86.19436,1007.691,7.341901,1.543222,336.8554,28.63222,2.72,0.1998562685844812,0.17226483162627462,-16.263985150481393,-15.030016946694746,-14.808186862686323
2025-04-30 03:30:00,10885.0,-13.50002,-13.43116,87.37132,1007.655,9.750095,2.205556,337.2495,7.072759,3.0,0.21746841718494256,0.19000502667759114,-15.083023282223277,-13.988555066739154,-13.835108546717407
2025-04-30 04:00:00,10886.0,-13.467,-13.52713,86.99095,1007.428,11.72876,1.753556,355.9691,8.187937,2.72,0.21577541873233963,0.1877050866217402,-15.2304276753963,-14.091093478697504,-13.909878435088253
2025-04-30 04:30:00,10887.0,-13.88761,-13.94864,86.42226,1007.295,15.28532,1.732556,353.6038,7.651535,2.59,0.20847798192356262,0.18017138358073428,-15.724833545400957,-14.522292807242415,-14.337990965069691
2025-04-30 05:00:00,10888.0,-14.92183,-15.2876,85.1187,1007.106,29.76358,1.120556,341.4154,19.59761,1.66,0.18673504284151288,0.15894644091113883,-17.22432112531564,-15.867144621538829,-15.62012723507718
2025-04-30 05:30:00,10889.0,-13.06361,-15.65476,85.10754,1007.123,107.1755,1.072889,344.3562,23.86566,2.01,0.18113797845682006,0.1541620774703295,-17.586940755440004,-16.228968199190007,-15.538475739433004
2025-04-30 06:00:00,10890.0,-9.507289,-14.6284,85.70398,1007.19,173.7162,0.595111,38.08622,62.26702,2.32,0.19717261180299983,0.1689847757851206,-16.49416853863087,-15.20357871504307,-14.00680290053015
2025-04-30 06:30:00,10891.0,-6.026303,-14.54042,85.75519,1007.23,161.2227,0.5144443,344.9481,19.79353,1.13,0.19860432824217364,0.17031351903229963,-16.40044463137479,-15.124388603905453,-13.246374622733818
2025-04-30 07:00:00,10892.0,-8.416774,-14.31478,85.9187,1007.258,139.1085,0.3925556,352.2784,41.76401,0.75,0.20231871385503203,0.1738296088009634,-16.155551431192908,-14.895197742489293,-13.541471219742505
2025-04-30 07:30:00,10893.0,-8.325707,-14.76617,86.09319,1007.42,175.0611,0.4511111,88.12081,14.58391,0.91,0.19494915199108842,0.16783794382707654,-16.575592340560465,-15.33218216868828,-13.874285918081796
2025-04-30 08:00:00,10894.0,-1.557067,-13.9215,86.08798,1007.51,280.5309,0.5355556,58.01808,32.67802,0.85,0.20894112588169833,0.17987319466081128,-15.74477996902217,-14.500551028343281,-11.853949119840294
2025-04-30 08:30:00,10895.0,-4.222404,-14.22875,85.40935,1007.357,239.0506,0.7136669,11.6841,8.823078,1.31,0.2037511428261783,0.17402252670541052,-16.142243341997418,-14.822649471017646,-12.64321042971235
2025-04-30 09:00:00,10896.0,-2.118278,-14.06687,85.83238,1007.128,302.6362,0.5758889,72.96319,22.91155,1.1,0.2064710556260641,0.17721902105497475,-15.923636464345709,-14.654957055206317,-12.08881253864442
2025-04-30 09:30:00,10897.0,3.026273,-13.40509,86.38242,1006.98,387.1467,0.3847777,90.29471,36.70566,1.31,0.2179303576210984,0.1882535168277592,-15.195132603482616,-13.988963029214526,-10.527528520450169
2025-04-30 10:00:00,10898.0,4.117194,-13.82287,86.04665,1006.955,402.1966,0.620889,146.4497,19.66267,1.33,0.2106319859410565,0.1812417677307501,-15.65347565285464,-14.405583151529719,-10.642756406070802
2025-04-30 10:30:00,10899.0,7.125012,-13.63525,86.30556,1006.627,476.75,0.5494444,178.9641,31.72108,1.22,0.21388217570155119,0.1845922094794077,-15.432524550155048,-14.219207712941008,-9.891967999058703
